Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
900,Badar Hayyat,Hayyat Inayyat,Ho. No. 628 St. No. 39 Odean chowk Noshera,16-2-78,A level,20-8-97,A,C
901,Abdul Haseeb Shams,Shams Rizwan,H No. 942 st. #  34 Kamra chowk Abbotabad,16-10-78,HSSC,23-8-97,A,C
902,Aga Amer Minhas,Sana Ullah Minhas,house # 489 s no.30  Durre peshawar,19-11-77,FSc,27-8-97,A,C
903,Qurat-ul-Ain Niazi,Yousaf Yusaf Niazi,h# 803 street no.25  Chand mari Hasanabdal,19-7-77,A-Level,1-8-97,A,C
904,Yaar Muhammad Sarwar Ismaili,Sh. Tipo Ismaili,House # 118 Street # 88  Hayata Abad peshawar,21-3-77,FSc,4-8-97,A,C
905,Yasin Awan,Syyed Shan Awan,H# 665 St. # 84  Jamurd  town PSH,23-4-77,A-Level,7-8-97,A,C
906,Osama Shehzad,Shehzad Hamid,ho. # 979 s# 79  Purani Taal Sawat,23-12-79,Fsc,11-8-97,A,C
907,Saaleh Awan,Alam Awan,House No.294 street # 74  Lane 6 Mall road Peshawar,25-9-79,F.Sc.,14-8-97,A,C
908,Mehak Sameer Iffan Namani,Sameer Iffan Namani,Ho. #  840 street #  38 Kusar coloney Gilgit,26-9-79,Fsc,17-8-97,A,C
909,Sheik Hameed Sherazi,Haseeb Amer Sherazi,Ho. no. 155 S No. 33 Illyas abad Abbotabad,28-5-78,A level,21-8-97,A,C
910,Karam Shuja Namani,Nawabzada Anwer Namani,h no. 470 St. No. 28 Durre PESHAWAR,28-2-78,HSSC,24-8-97,A,C
911,Syyeda Uhad,Uhad Khurram,Ho. No. 16 St. No. 23 Eid gha Noshera,1-2-78,A level,27-8-97,A,C
912,Sharif Abu Bakr,Abu Bakr Mahtab,H No. 331 s no. 87 Sihaal Abbotabad,1-11-78,HSSC,1-8-97,A,C
913,Shujaat Bakht Khanzada,Farooq Khanzada,house #  645 street no. 82 Khybar road peshawar,3-7-77,FSc,5-8-97,A,C
914,Rabia Zil-e-Ali Tufail Hussaini,Zil-e-Ali Tufail Hussaini,h# 960 street no.77  College road Hasanabdal,4-7-77,A-Level,8-8-97,A,C
915,Mouhammad Shakeel Ismaili,Raja Baber Ismaili,House # 506 St. # 73  Lane 6 Mall road peshawar,6-4-77,FSc,11-8-97,A,C
916,Pervaiz Hussaini,Momd. Abdus Sammi Hussaini,H# 821 s# 36  Hayata Abad PSH,8-12-77,A-Level,14-8-97,A,C
917,Rai Nazeer,Nazeer Haroon,ho. # 136 Street No.31  Karki Sawat,8-1-79,Fsc,18-8-97,A,C
918,Ijaz Paracha,Shams-ul-Islam Paracha,House No.682 street # 27  Durre Peshawar,10-9-79,F.Sc.,21-8-97,A,C
919,Naima Haque,Arman Asfar Haque,Ho. # 997 S# 90  Daniyaal town Gilgit,10-6-79,Fsc,24-8-97,A,C
920,Farman Sherazi,Kishwar Ghazi Sherazi,house no. 311 S#  85 Haider road Sawat,13-6-79,F.Sc.,27-8-97,A,C
921,Annan Anjum Zaidi,Mouhammed Inayyat Zaidi,h no. 858 St. No. 81 Khybar road PESHAWAR,13-2-78,HSSC,2-8-97,A,C
922,Rozina Abdul Malik,Abdul Malik Muslim,Ho. No. 172 s no. 76 Doley shah Noshera,15-11-78,A level,5-8-97,A,C
923,Sohail Waqas Usmani,Sana Ullah Usmani,H No. 487 street no. 39 Lane 6 Mall road PESHAWAR,15-7-78,HSSC,8-8-97,A,C
924,Qutab Kharasani,Nazar Kharasani,house #  34 St. no. 35 Bara market peshawar,17-8-77,FSc,12-8-97,A,C
925,Maheera Usmani,Tipu Iqbal Usmani,h#  348 St. #  30 Kotlia Hasanabdal,17-4-77,A-Level,15-8-97,A,C
926,Saleem Laghari,Mouhammad Jan Laghari,House # 663 s# 25  Durre peshawar,20-12-77,FSc,18-8-97,A,C
927,Qudoos Abdul Suleh,Abdul Suleh Mudassir,H# 209 Street No.88  Chittian hattian Mardan,22-1-77,A-Level,21-8-97,A,C
928,Yosaf Shakir,Shakir Alam,ho. # 524 street # 84  Surahi bazar Sawat,22-9-79,Fsc,25-8-97,A,C
929,M. Affan Hussaini,Qasim Hussaini,House No.838 S# 79  Khybar road Peshawar,24-6-79,F.Sc.,28-8-97,A,C
930,Maira Haque,Mujeeb Arshad Haque,Ho. # 385 S# 74  Mitran walia Gilgit,24-6-79,Fsc,2-8-97,A,C
931,Usman Bashir Pasha,Mustansar Shahroze Pasha,house no.700 St. No.38  Chand mari Sawat,26-2-79,F.Sc.,5-8-97,A,C
932,Najum Haque,Agha AAmer Haque,h no. 14 s no. 33 Bara market PESHAWAR,27-11-78,HSSC,9-8-97,A,C
933,Salma Adil,Adil Nazir,Ho. No. 329 s no. 28 Kamalia Noshera,29-11-78,A level,12-8-97,A,C
934,Rizwan Zaidi,Farooq Zaidi,H No. 875 St. no. 92 Durre PESHAWAR,29-8-78,HSSC,15-8-97,A,C
935,Chodhary Nabeel Butt,Safi Butt,Ho. no. 190 St. #  87 Lane 6 Mall road Psh,2-4-78,A level,18-8-97,A,C
936,Nabeera Ansary,Atif Ali Ansary,h#  504 St. #  82 Kumria Hasanabdal,2-4-77,A-Level,22-8-97,A,C
937,Kaleem Kharasani,Shk. Sammi Kharasani,House # 51 Street No.78  Khybar road peshawar,5-1-77,FSc,25-8-97,A,C
938,Sohail Munir,Munir Abdul Ahad,H# 366 street # 41  Bunkhar gali Mardan,7-9-77,A-Level,28-8-97,A,C
939, Abuzar,Abuzar Shams-ul-Islam,house # 680 st. # 36  Eid gha Hasanabdal,7-10-77,FSc,2-8-97,A,C
940,Saleem Yaar Muhammad Bhatti,Akmal Bhatti,House No.227 S# 32  Bara market Peshawar,9-6-79,F.Sc.,6-8-97,A,C
941,Iman Kishwar Ramzan Satti,Kishwar Ramzan Satti,Ho. # 541 St. No.27  Lakhan Gilgit,9-2-79,Fsc,9-8-97,A,C
942,Rana Ajab Pasha,Sheik Abdullah Pasha,house no.856 Street # 90  Durre Peshawar,11-3-79,F.Sc.,12-8-97,A,C
943,Adil Shah,Rana Faisal Shah,h no. 402 s no. 85 Officers coloney PESHAWAR,12-11-78,HSSC,16-8-97,A,C
944,Zinat Yousaf,Yousaf Amjad,Ho. No. 717 St. no. 81 Purana shehar Noshera,14-8-78,A level,19-8-97,A,C
