Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
3000,Kaneez Fatima Sattar Satti,Sattar Satti,Ho. no. 586 s no. 74 Durre Psh,27-11-85,A level,5-8-04,A,I
3001,Qasim Baber Bhatti,Rayyan Mahtab Bhatti,h no. 901 St. no. 37 Eid gha Abbotabad,27-8-85,HSSC,8-8-04,A,I
3002,Waqar Shah,Muhammad Najum Shah,Ho. No.447 St. # 32  Hayata Abad Psh,1-4-85,A level,11-8-04,A,I
3003,Riffat Chohan,Aga Rashid Chohan,H# 762 St. # 28  Khybar road PSH,1-4-84,A-Level,15-8-04,A,I
3004,Shehzad Wajid,Wajid Munnawar,house # 76 Street No.23  College road Attock,3-1-84,FSc,18-8-04,A,I
3005,Aftab Durrani,Aftab Durrani,h# 623 street # 86  Lane 6 Mall road PSH,3-9-84,A-Level,21-8-04,A,I
3006,Mahnoor Abbasi,Waqar Yosaf Abbasi,House # 937 st. # 82  Nai abadi Hasanabdal,5-10-84,FSc,24-8-04,A,I
3007,Moeen Abdul kareem Durrani,Zil-e-Ali Usman Durrani,house no.252 S# 77  Karki Mansehra,5-6-86,F.Sc.,28-8-04,A,I
3008,Maria Ansari,Choudhary Daud Ansari,ho. #  799 St. No. 72 Durre psh,8-2-86,Fsc,2-8-04,A,I
3009,Rahmat Nazir,Nazir Abdul Qadir,House No. 113 Street #  36 Daniyaal town Sawat,10-3-86,F.Sc.,5-8-04,A,I
3010,Haseen Abdul Hannan Ansari,Mustamsir Ansari,H No. 428 s no. 31 Bara market PESHAWAR,10-11-85,HSSC,9-8-04,A,I
3011,Durdana Satti,Shaukat Satti,Ho. no. 974 St. no. 26 Khybar road Psh,12-8-85,A level,12-8-04,A,I
3012,Athar Haqqie,Nazir Abdus Sammi Haqqie,h no. 289 St. no. 90 Doley shah Abbotabad,12-8-85,HSSC,15-8-04,A,I
3013,Ahmed Satti,Sheikh Imran Satti,Ho. No. 604 S No. 85 Lane 6 Mall road Psh,14-5-85,A level,18-8-04,A,I
3014,Azra Chohan,Mohammad Zishan Chohan,H# 150 Street No.80  Bara market PSH,15-1-84,A-Level,22-8-04,A,I
