SID,St_Name,Father_Name,Gender,Address,Date of Birth,Reg Date,Reg Status,Degree Status,Last Degree
0,Maryyum Jaffery,Ghulam Mustafa Jaffery,1,Ho. no. 302 St. no. 9 Pind dadu Dera ghazi khan,24-Aug-78,24-Aug-01,A,C,M.Sc
1,Firdous Shah,Sahir Rahid Shah,0,H#  169 s#  0 Mutian wala Dera ghazi khan,13-Dec-77,13-Aug-01,A,C,M.Phil
2,Arsalan Abuzar Durrani,Mouhammed Ghani Durrani,0,ho. #  484 street #  95 Buliyan wali Gujrawala,13-Sep-79,17-Aug-01,A,C,MSc
3,Jibran Abbasi,Sahibzada Tahir Abbasi,0,House No. 31 street #  91 Dak ghar Wazirabad,15-Sep-79,20-Aug-01,A,C,BS
4,Hasina Abdul Jabbar,Abdul Jabbar Suleman,1,Ho. # 345 S# 86  Cement factory coloney Sargodha,16-Jun-79,23-Aug-01,A,C,MSc
5,Sharif Baber Ansari,Imtiaz Ansari,0,house no.660 St. No.49   Pindi Bhatian,18-Feb-79,26-Aug-01,A,C,BS
6,Rai Nazir Gondal,Baqir Kabir Gondal,0,h no.206 St. No.45  Mujahid block Shekhopura,18-Feb-78,1-Aug-01,A,C,MS
7,Rija Ansari,Yaseen Shams-ul-Islam Ansari,1,Ho. No.521 s no.40  Bakra mandi Melsi,20-Nov-78,4-Aug-01,A,C,M.Sc
8,Haroon Abdul Qadeer Satti,Syyed Azmat Satti,0,H No.835 street no.3  Jalabad D.I. Khan,22-Jul-78,7-Aug-01,A,C,MS
9,Badar Abdul kareem,Abdul kareem Yusaf,0,house # 382 St. no.98  Kamra chowk Gujrat,22-Aug-77,11-Aug-01,A,C,BE
10,Alina Abdur Rahman Sehti,Abdur Rahman Sehti,1,h#  697 St. #  94 Lohi pura Faisalabad,25-Apr-77,14-Aug-01,A,C,M.Phil
11,Mohammed Tanveer Chohan,Kamal Chohan,0,House #  11 Street No. 89 Pakistan hostel Sahiwal,25-Jan-77,17-Aug-01,A,C,BE
12,Yousaf Baig,Sohail Haseeb Baig,0,H#  558 Street No. 52 Dhamiyal Kabirwala,27-Jan-77,20-Aug-01,A,C,M.Phil
13,Momd. Ahmad Chohan,Chodhary Abdus Sattar Chohan,0,ho. #  872 street #  48 Khumar road Abdul Hakim,27-Sep-79,24-Aug-01,A,C,MSc
14,Muaz Anjum,Anjum Faizan,0,House No. 187 S#  43 Hospital road D.G. Khan,29-Jun-79,27-Aug-01,A,C,BS
15,Sitara Ramzan,Ramzan Adil,1,Ho. #  501 S#  38 Cantt. road Dera Ismail Khan,29-Jun-79,1-Aug-01,A,C,MSc
16,Yousaf Affan Jaffery,Salim Jaffery,0,house no.48 Street # 2  Landi Gujrat,3-Mar-79,4-Aug-01,A,C,BS
17,Choudhary Amjad Khattak,Karam Illahi Inayyat Khattak,0,h no.363 s no.97  Bhatta Sialkot,3-Nov-78,8-Aug-01,A,C,MS
18,Haleema Ansari,Umer Aqeel Ansari,1,Ho. No.677 s no.92  Shakrial Bhawalpur,5-Nov-78,11-Aug-01,A,C,M.Sc
19,Sahibzada Tanveer Khattak,Momd. Ahmed Khattak,0,H No.224 St. no.88  Jalsa gha Jehlum,7-Aug-78,14-Aug-01,A,C,MS
20,Abdur Rasheed Ahmad,Ahmad Abuzar,0,Ho. no.538 St. # 51  Karnianwala Abdul Hakim,7-Apr-78,17-Aug-01,A,C,M.Sc
21,Ayesha Sehti,Iffan Sehti,1,h# 853 S No.46  Noorpur Dera ghazi khan,9-May-77,21-Aug-01,A,C,M.Phil
22,Umer Asfar Haq,Abdul Basit Haq,0,House #  399 Street No. 42 Factory road Multan,10-Jan-77,24-Aug-01,A,C,BE
23,Qutab Abid Baig,Zakir Amjad Baig,0,H#  714 street #  5 Garrizon LalaMusa,12-Sep-77,27-Aug-01,A,C,M.Phil
24,Natalia Chatta,Nawabzada Javed Chatta,1,house #  29 st. #  0 Ramzania Sialkot,12-Oct-77,1-Aug-01,A,C,BE
25,Masud Barkat,Barkat Suleman,0,House No. 575 S#  95 Pind dadu Pindi Bhatian,14-Jun-79,5-Aug-01,A,C,BS
26,Azra Ismail,Ismail Imtiaz,1,Ho. #  890 Street #  91 Bara qabrustan Kharian,14-Mar-79,8-Aug-01,A,C,MSc
27,Jamil Kazmi,Anayyat Kazmi,0,house no. 204 Street #  54 Niazi town Bahawalpur,16-Mar-79,11-Aug-01,A,C,BS
28,Shaukat Khan,Kashif Adnan Khan,0,h no.751 s no.49  Haider road D.I. Khan,17-Nov-78,15-Aug-01,A,C,MS
29,Umaima Awan,Javed Ismail Awan,1,Ho. No.65 St. no.45  Khasra Gujrawala,19-Aug-78,18-Aug-01,A,C,M.Sc
30,Saroor Khurshid Haqq,Agha Uhad Haqq,0,H No.380 St. no.40  Buliyan wali Wazirabad,21-Aug-78,21-Aug-01,A,C,MS
31,Mahtab Ibraheem,Ibraheem Furqan,0,Ho. no.927 S No.3  Dak ghar Sargodha,21-May-78,24-Aug-01,A,C,M.Sc
32,Mahtara Namani,Anayyat Namani,1,h# 241 Street No.99  Farooqia Kabirwala,23-Jan-77,28-Aug-01,A,C,M.Phil
33,Mohammed Abdul Mannan Sherazi,Momin Sherazi,0,House #  556 Street No. 94 Chandi bazar Shekhopura,24-Jan-77,2-Aug-01,A,C,BE
34,Ehsan Firdous Namani,Yawar Shehzad Namani,0,H#  870 st. #  89 Mujahid block Melsi,26-Oct-77,5-Aug-01,A,C,M.Phil
35,Shammaa Khanzada,Mirza Nazeer Khanzada,1,house #  417 S#  53 Bakra mandi D.I. Khan,26-Jun-77,8-Aug-01,A,C,BE
36,Rashid Abdullah Qureshi,Mouhammad Tipo Qureshi,0,House No. 731 street no. 48 Odean chowk Gujrat,28-Jul-79,12-Aug-01,A,C,BS
37,Sehar Shariq,Shariq Shan,1,Ho. #  46 Street #  43 Kamra chowk Faisalabad,28-Mar-79,15-Aug-01,A,C,MSc
38,Muazzum Hussaini,Hameed Hussaini,0,house no. 593 s no. 7 Lohi pura Sahiwal,1-Nov-79,18-Aug-01,A,C,BS
39,Ch. Tanveer Ismaili,Tufail Haseen Ismaili,0,ho. # 907 s# 2  Pakistan hostel Kabirwala,2-Dec-79,21-Aug-01,A,C,MSc
40,Khushbakht Sharif Mustamsir Hussaini,Sharif Mustamsir Hussaini,1,Ho. No.222 St. no.97  Basti Abdul Hakim,4-Aug-78,25-Aug-01,A,C,M.Sc
41,Mujeeb Haqq,Mohammad Haseeb Haqq,0,H No.768 S No.92  Khumar road D.G. Khan,6-May-78,28-Aug-01,A,C,MS
42,Sammi Sattar,Sattar Anwer,0,Ho. no.83 S No.56  Hospital road Dera Ismail Khan,6-May-78,2-Aug-01,A,C,M.Sc
43,Adila Haque,Khurram Haque,1,h# 397 St. No.51  City Road LalaMusa,8-Feb-77,6-Aug-01,A,C,M.Phil
44,Qamar Ghazanfar Sherazi,Mukhtar Sherazi,0,House # 944 st. # 46  Kusar coloney Sialkot,8-Oct-77,9-Aug-01,A,C,BE
