Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
1800,Emmad Farzan,Farzan Farooq,House No. 401 s#  73 Kumria Mansehra,19-12-82,F.Sc.,1-8-00,A,C
1801,Adila Shabeer,Shabeer Mujeeb,Ho. # 947 St. no.69  Illyas abad Gilgit,22-8-82,Fsc,4-8-00,A,C
1802,Bakht Junaid Ismaili,Mustansar Ismaili,Ho. no.262 St. no.64  Air port coloney Psh,24-8-81,A level,8-8-00,A,C
1803,Sana Ullah Viqar-ul-Islam Hussaini,AAmer Abdur Rahman Hussaini,h no.576 S No.59  Biyaal Haripur,24-5-81,HSSC,11-8-00,A,C
1804,Nadia Haqq,Mouhammed Munir Haqq,Ho. No.123 Street No.23  Bara market Psh,26-1-81,A level,14-8-00,A,C
1805,Abdur Raziq Paracha,Nawabzada Amjad Paracha,H No.438 St. No.18  Khybar road PESHAWAR,26-2-81,HSSC,17-8-00,A,C
1806,Anwar Abdul Ahad,Abdul Ahad Safi,house #  752 st. #  13 Shehar bazar Mardan,29-10-80,FSc,21-8-00,A,C
1807,Nazma Sherazi,Zulqur nain Sherazi,h#  299 S#  9 Officers coloney PSH,29-6-80,A-Level,24-8-00,A,C
1808,Latif Ghulam Yasin Zaidi,Sammi Zaidi,House #  613 street no. 72 Bara market peshawar,2-7-80,FSc,27-8-00,A,C
1809,Huda Sherazi,Abdul Ahad Tanvir Sherazi,house no. 928 Street #  67 Jamia masjid chowk Gilgit,2-3-82,F.Sc.,2-8-00,A,C
1810,Wajid Babar Usmani,Syed Shams Usmani,ho. #  474 s#  62 Air port coloney psh,4-12-82,Fsc,5-8-00,A,C
1811,AAmer Waqas,Waqas Akmal,House No. 789 s#  26 Afangi block Mansehra,4-12-82,F.Sc.,8-8-00,A,C
1812,Nazma Sheharyar,Sheharyar Kishwar,Ho. # 104 St. no.21  Saat meel Gilgit,7-8-82,Fsc,11-8-00,A,C
1813,Sameer Laghari,Abdullah Laghari,Ho. no.418 S No.16  Afridi block Psh,9-5-81,A level,15-8-00,A,C
1814,Rahmat Ajab Hussaini,Faisal Sharif Hussaini,h no.965 S No.12  Shah malung Haripur,9-5-81,HSSC,18-8-00,A,C
1815,Annum Laghari,Agha Saaleh Laghari,Ho. No.279 St. No.75  Officers coloney Psh,11-2-81,A level,21-8-00,A,C
1816,Viqar-ul-Islam Bulbul Paracha,Mouhammed Haseen Paracha,H No.594 st. # 70  Bara market PESHAWAR,11-10-81,HSSC,24-8-00,A,C
1817,Husain Rehan,Rehan Usman,house # 141 st. # 66  Akbar masjid Mardan,13-10-80,FSc,28-8-00,A,C
1818,Kina Pasha,Mustafa Pasha,h#  455 street no. 61 Air port coloney PSH,14-7-80,A-Level,2-8-00,A,C
1819,Shk. Pervaiz Zaidi,Muzammil Imtiaz Zaidi,House #  770 Street #  24 Jaamia Masjid road Attock,16-3-80,FSc,5-8-00,A,C
1820,Abdul Suleh Arif Butt,Naeem Ehsan Butt,H#  316 St. #  20 Surahi bazar Mardan,16-4-80,A-Level,8-8-00,A,C
1821,Mirza Masood Zaidi,Mouhammad Jabir Zaidi,ho. #  631 s#  15 Afridi block psh,18-12-82,Fsc,12-8-00,A,C
1822,Zulfiqar Amjad,Amjad Qamar,House No. 945 St. no. 10 Sukkhan abad Mansehra,18-8-82,F.Sc.,15-8-00,A,C
1823,Maheera Mustansar Usmani,Mustansar Usmani,Ho. #  492 street #  74 Officers coloney psh,20-9-82,Fsc,18-8-00,A,C
1824,Sahibzada Yousaf Kharasani,Ghazanfar Kharasani,Ho. no.807 S No.69  University coloney Psh,23-5-81,A level,22-8-00,A,C
1825,Sabir Bhatti,Munir Mukhtar Bhatti,h no.121 St. No.64  Park road Haripur,23-2-81,HSSC,25-8-00,A,C
1826,Sanam Laghari,Rana Tabraiz Laghari,Ho. No.668 St. No.60  Air port coloney Psh,25-2-81,A level,28-8-00,A,C
1827,Rana Asif Bhatti,Hafiz Abdul Hannan Bhatti,H No.982 s no.23  Officers coloney PESHAWAR,25-11-81,HSSC,2-8-00,A,C
1828,Abdul Haseeb Shabir,Shabir Zulqur nain,house # 297 street no.18  Taj abad Mardan,27-7-80,FSc,6-8-00,A,C
1829, Asif Pasha,Asif Pasha,h# 611 street no.13  Afridi block PSH,27-7-80,A-Level,9-8-00,A,C
1830,Affan Shah,Abdul Ahad Nazeer Shah,House #  158 St. #  77 post office Attock,1-4-80,FSc,12-8-00,A,C
1831,Saaleh Iqbal Butt,Ejaz Latif Butt,H#  473 s#  72 Biyaal Mardan,1-12-80,A-Level,15-8-00,A,C
1832,Sattar Abbasi,Shk. Osama Abbasi,ho. #  787 Street No. 67 University coloney psh,3-1-82,Fsc,19-8-00,A,C
1833,Shahroze Ajmal,Ajmal Kabir,House No. 334 street #  63 Karkhana road Mansehra,3-9-82,F.Sc.,22-8-00,A,C
1834,Nosheen Ansary,Abdullah Ansary,Ho. #  648 S No. 26 Air port coloney psh,5-5-82,Fsc,25-8-00,A,C
1835,Hafiz Jamil Gondal,Nabeel Gondal,house no. 963 S#  21 Officers coloney Peshawar,7-6-82,F.Sc.,28-8-00,A,C
1836,Suleman Ansary,Saaleh AAmir Ansary,h no.509 St. No.17  Bara bazar Haripur,8-2-81,HSSC,3-8-00,A,C
1837,Naz Satti,Sheik Hussain Satti,Ho. No.824 s no.12  Afridi block Psh,10-11-81,A level,6-8-00,A,C
1838,Yaar Muhammad Athar,Athar Kamran,H No.139 s no.75  Mitthian Abbotabad,10-11-81,HSSC,9-8-00,A,C
1839,Sameer Mehmood,Mehmood Qudoos,house # 685 street no.71  Shuakat coloney Mardan,12-7-80,FSc,13-8-00,A,C
1840,Afsheen Chohan,Qutab Chohan,h# 0 St. # 66  University coloney PSH,12-4-80,A-Level,16-8-00,A,C
1841,Abdul Malik Shah,Naeem Shabeer Shah,House #  314 St. #  61 Hamdarad road Attock,15-4-80,FSc,19-8-00,A,C
1842,Ch. Yawar Chohan,Kaleem Zishan Chohan,H#  861 Street No. 25 Shah malung Mardan,15-1-80,A-Level,22-8-00,A,C
1843,Yaar Muhammad Yasin Abbasi,Mirza Masroor Abbasi,ho. #  175 street #  20 Afindi road psh,17-9-82,Fsc,26-8-00,A,C
1844,Furqan Arsalan,Arsalan Yaar Muhammad,House No. 490 street #  15  Mansehra,17-9-82,F.Sc.,29-8-00,A,C
1845,Tayyaba Jaffery,Rahat Jaffery,Ho. #  37 S#  78 Afridi block psh,19-6-82,Fsc,3-8-00,A,C
1846,Khurshid Gondal,Moeen Gondal,house no. 351 St. No. 74 Air port coloney Peshawar,21-2-82,F.Sc.,6-8-00,A,C
1847,Ajmal Ansari,Tabraiz Ghazi Ansari,h no.666 Street # 69  Jalabad Haripur,22-3-81,HSSC,10-8-00,A,C
1848,Sajeela Gondal,Aga Abdul Hannan Gondal,Ho. No.980 s no.64  University coloney Psh,24-11-81,A level,13-8-00,A,C
1849,Karam Saaleh,Saaleh Zulfiqar,H No.527 street no.28  Kachi abadi Abbotabad,24-7-81,HSSC,16-8-00,A,C
1850,Nazir Viqar,Viqar Ibraheem,Ho. no.841 St. no.23  Sukkhan abad Haripur,26-8-81,A level,19-8-00,A,C
1851,Moeena Haqqie,Siraj Haqqie,h# 156 St. # 18  Afindi road PSH,26-4-80,A-Level,23-8-00,A,C
1852,Momd. Bakht Baig,Ejaz Anjum Baig,House # 703 Street No.14  Dehri Attock,28-1-80,FSc,26-8-00,A,C
1853,Muazzam Chohan,Ch. Sahir Chohan,H#  17 Street No. 77 Afridi block PSH,29-1-80,A-Level,29-8-00,A,C
1854,Akram Ghulam Yasin Baig,Mohammed Kabir Baig,ho. #  332 street #  72 Industrial estate psh,2-9-82,Fsc,4-8-00,A,C
1855,Nazar Aslam,Aslam Shariq,House No. 878 S#  68 Landi Mansehra,2-6-82,F.Sc.,7-8-00,A,C
1856,Nadia Sheharyar Jaffery,Sheharyar Jaffery,Ho. #  193 S#  63 University coloney psh,4-6-82,Fsc,10-8-00,A,C
1857,Abdul Mannan Khan,Bashir Khan,house no. 507 Street #  26 Afridi block Peshawar,6-3-82,F.Sc.,13-8-00,A,C
1858,Haroon Obaid Jaffery,Hussain Shazil Jaffery,h no. 54 s no. 22 Jalsa gha Haripur,6-11-81,HSSC,17-8-00,A,C
1859,Urooj Khattak,Muhammad Zubair Khattak,Ho. No.369 s# 17  Afindi road Psh,9-12-81,A level,20-8-00,A,C
1860,Baber Sikandar,Sikandar Qudoos,H No.683 St. no.80  Karimabad Abbotabad,9-8-81,HSSC,23-8-00,A,C
1861,Ahmed Badar,Badar Farzan,Ho. no.230 St. # 75  Karkhana road Haripur,11-4-81,A level,26-8-00,A,C
1862,Aneela Haq,Abdul Haseeb Haq,h# 544 S No.71  Industrial estate PSH,11-5-80,A-Level,1-8-00,A,C
1863,Hafiz Ahmad Sehti,Kaleem Niaz Sehti,House # 859 Street No.66  Ramzania Attock,13-1-80,FSc,4-8-00,A,C
1864,Abdullah Rahat Haq,Sahibzada Sohail Haq,H# 406 st. # 29  University coloney PSH,13-10-80,A-Level,7-8-00,A,C
1865,Rubina Baig,Choudhary Yaar Muhammad Baig,house #  720 S#  25 Afridi block peshawar,16-6-80,FSc,10-8-00,A,C
1866,Shabir Yusaf,Yusaf Zaran,House No. 35 S#  20 Niazi town Mansehra,16-6-82,F.Sc.,14-8-00,A,C
1867,Jameela Wajid Kiyyani,Wajid Kiyyani,Ho. #  349 Street #  15 Afindi road psh,18-3-82,Fsc,17-8-00,A,C
1868,Sattar Muazzum Khan,Rasheed Mehmood Khan,house no. 896 s no. 79 Mutian wala Sawat,20-11-82,F.Sc.,20-8-00,A,C
1869,Sh. Ghani Kazmi,Abdul Hannan Imran Kazmi,ho. #  210 s#  74 Hamdarad road Mansehra,20-12-82,Fsc,23-8-00,A,C
1870,Kishwar Haqq,Chodhary Abdul Jabbar Haqq,Ho. No. 525 St. no. 69 Industrial estate Psh,22-8-81,A level,27-8-00,A,C
