Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
2400,Abu Bakr Nazar Jaffery,Ghulam Yasin Jaffery,H No.993 s no.74  Officers coloney PESHAWAR,24-11-83,HSSC,18-8-02,A,I
2401,Rayyan Durrani,Ehsan Jameel Durrani,Ho. no. 540 St. no. 69 Chan chirag Haripur,25-8-83,A level,21-8-02,A,I
2402,Afsheen Ansari,Shk. Aqeel Ansari,h no. 855 St. no. 32 Khybar road PESHAWAR,27-8-83,HSSC,24-8-02,A,I
2403,Mustafa Gondal,Momd. Amjad Gondal,Ho. No. 169 S No. 28 Durre Psh,27-5-83,A level,27-8-02,A,I
2404,Abdul Qadir Sohail,Sohail Jameel,H#  484 Street No. 23 Jaamia Masjid road Mardan,29-1-82,A-Level,2-8-02,A,I
2405,Nazma Khattak,Adnan Khattak,house #  30 Street No. 18 Bara market peshawar,29-1-82,FSc,5-8-02,A,I
2406,Naeem Ubaid Haqqie,Mujtaba Immad Haqqie,h#  345 st. #  81 Farman block Attock,2-10-82,A-Level,8-8-02,A,I
2407,Aftab Sehti,Qutab-ud-Din Ahmed Sehti,House # 659 S# 77  Mitran walia Mardan,3-6-82,FSc,11-8-02,A,I
2408,Muhammad Yaseen Haqqie,Rana Shabir Haqqie,house no.206 street no.72  Officers coloney Peshawar,5-7-84,F.Sc.,15-8-02,A,I
2409,Jabbar Abdul Qadir,Abdul Qadir Shaheen,ho. # 521 Street # 67  Ghosia masjid chwok Mansehra,5-3-84,Fsc,18-8-02,A,I
2410,Gulmina Chatta,Obaid Chatta,House No.835 s no.31  Khybar road Peshawar,7-11-84,F.Sc.,21-8-02,A,I
2411,Adil Baig,Akram Baig,Ho. # 382 s# 26  Durre psh,9-12-84,Fsc,24-8-02,A,I
2412,Faizan Ghazanfar Khan,Shujaat Abdul Suleh Khan,Ho. no.696 St. no.21  Darian Haripur,9-8-83,A level,28-8-02,A,I
2413,Bano Jaffery,Raja Masood Jaffery,h no. 11 S No. 17 Bara market PESHAWAR,12-5-83,HSSC,2-8-02,A,I
2414,Zeeshan Firdous Khan,Shk. Amjad Khan,Ho. No. 557 S No. 80 Khybar road Psh,12-5-83,A level,5-8-02,A,I
2415,Kishwar Murtaza,Murtaza Annan,H No. 872 Street No. 75 Bunkhar gali Haripur,14-1-83,HSSC,8-8-02,A,I
2416,Nighat Khattak,Immad Khattak,house #  187 st. #  71 Officers coloney peshawar,14-10-82,FSc,12-8-02,A,I
2417,Tufail Minhas,AAmir Sageer Minhas,h#  733 st. #  66 Muzafar shah Attock,16-10-82,A-Level,15-8-02,A,I
2418,Fakhar Namani,Masood Sattar Namani,House #  48 street no. 29 Lakhan Mardan,16-7-82,FSc,18-8-02,A,I
2419,Sageer Kabir Kiyyani,Choudhary Sultan Kiyyani,house no.362 Street # 25  Air port coloney Peshawar,19-3-84,F.Sc.,22-8-02,A,I
2420,Arshad Ahsan,Ahsan Annan,ho. # 909 St. # 20  Mandi Mansehra,19-4-84,Fsc,25-8-02,A,I
2421,Sadia Munnawar,Munnawar Rohail,House No.223 s# 83  Purana shehar Gilgit,21-12-84,F.Sc.,28-8-02,A,I
2422,Iqbal Ibrahim Qureshi,Asif Qureshi,Ho. # 538 St. no.78  Khybar road psh,23-8-84,Fsc,2-8-02,A,I
2423,Mustafa Sohail Ismaili,Muneer Nazir Ismaili,Ho. no.853 street # 74  Mitthian Haripur,23-9-83,A level,6-8-02,A,I
2424,Salma Niazi,Sheikh Affan Niazi,h no.399 S No.69  Officers coloney PESHAWAR,25-5-83,HSSC,9-8-02,A,I
2425,Sajid Yusaf Ismaili,Mohammad Shahzor Ismaili,Ho. No. 714 St. No. 32 Bara market Psh,26-2-83,A level,12-8-02,A,I
2426,Sahir Mujtaba,Mujtaba Ghani,H No. 28 St. No. 28 Byaar Haripur,28-2-83,HSSC,15-8-02,A,I
2427,Tayyaba Haqq,Tahir Haqq,house #  575 st. #  23 Air port coloney peshawar,28-10-82,FSc,19-8-02,A,I
2428,Atif Mustamsir Paracha,Suleman Paracha,h#  889 street no. 18 Officers coloney PSH,1-7-82,A-Level,22-8-02,A,I
2429,Soneel Ahmed Namani,Sabir Amer Namani,House #  204 Street #  82 Chan chirag Mardan,1-3-82,FSc,25-8-02,A,I
2430,Shamim Sherazi,Sahibzada Rehmat Sherazi,H# 751 St. # 77  Khybar road PSH,4-4-82,A-Level,28-8-02,A,I
2431,Viqar-ul-Islam Zulfiqar,Zulfiqar Zarar,ho. # 65 s# 72  Main workshop Mansehra,4-12-84,Fsc,3-8-02,A,I
2432,Rozina Akram,Akram Azmat,House No.380 St. no.68  Jaamia Masjid road Gilgit,6-8-84,F.Sc.,6-8-02,A,I
2433,Mudassir Usmani,Qutab Usmani,Ho. # 926 street # 31  Bara market psh,8-9-84,Fsc,9-8-02,A,I
2434,Aslam Khanzada,Abdur Rahman Aun Khanzada,Ho. no.241 S No.26  Kachi abadi Haripur,8-5-83,A level,13-8-02,A,I
2435,Mehak Syyed Jamal Hussaini,Syyed Jamal Hussaini,h no.556 St. No.22  Air port coloney PESHAWAR,10-2-83,HSSC,16-8-02,A,I
2436,Mirza Shams Laghari,Sheikh Soneel Laghari,Ho. No. 102 St. No. 85 Officers coloney Psh,11-2-83,A level,19-8-02,A,I
2437,Imtiaz Kabir,Kabir Abdus Sattar,H No. 417 st. #  80 Ghosia masjid chwok Haripur,13-10-83,HSSC,22-8-02,A,I
2438,Aneela Haque,Faizan Haque,house #  731 street no. 76 Afridi block peshawar,13-7-82,FSc,26-8-02,A,I
