Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
200,Samman Qamar,Qamar Ibrahim,Ho. no. 386 Street No. 71  Noshera,2-1-80,M.Sc,25-8-03,A,C
201,Tanvir Anwar,Anwar Sikandar,h#  700 St. No. 67 Mujahid block Attock,4-2-79,M.Phil,29-8-03,A,C
202,Yaseen Abdul Basit Zaidi,Ijaz Zaidi,House #  15 st. #  62 Industrial estate peshawar,4-10-79,BE,3-8-03,A,C
203,Hasina Butt,Rahmat Junaid Butt,H# 561 street no.57  Jalabad Hasanabdal,7-7-79,M.Phil,6-8-03,A,C
204,Islam Tipo Usmani,Syyed Latif Usmani,house # 876 street no.21  University coloney peshawar,7-7-79,BE,9-8-03,A,C
205,Urooj Kharasani,Sheik Muazzam Kharasani,House No.191 Street # 16  Lane 3 Khybar road Peshawar,9-3-81,BS,13-8-03,A,C
206,Zaran Annan,Annan Mehmood,Ho. # 737 s# 11  Pakistan hostel Sawat,9-12-81,MSc,16-8-03,A,C
207,Rayyan Laghari,Abdul Suleh Laghari,house no.52 s# 7  Afindi road Peshawar,11-12-81,BS,19-8-03,A,C
208,Iman Hussaini,Husain Hussaini,ho. #  366 street #  70 University coloney psh,14-9-81,MSc,22-8-03,A,C
209,Farrukh Laghari,Farman Firdous Laghari,Ho. No. 913 S No. 65 Hospital road Abbotabad,14-5-80,M.Sc,26-8-03,A,C
210,Malik Pasha,M. Adul Qudoos Pasha,H No. 227 S No. 61 Industrial estate PESHAWAR,16-5-80,MS,29-8-03,A,C
211,Rukhsana Muamar,Muamar Waqas,Ho. no. 542 St. No. 56 Landi Noshera,16-2-80,M.Sc,3-8-03,A,C
212,Gul Sahir,Sahir Shehzad,h no. 89 st. #  19 Taj abad Abbotabad,18-10-80,MS,6-8-03,A,C
213,Zakir Sageer Zaidi,Kalim Zaidi,House #  403 s no. 14 Lane 3 Khybar road peshawar,18-11-79,BE,10-8-03,A,C
214,Sultana Butt,Saroor Yasin Butt,H# 718 street no.10  Jalsa gha Hasanabdal,21-7-79,M.Phil,13-8-03,A,C
215,Zaran Tipu Abbasi,Muhammad Niaz Abbasi,house # 32 Street # 73  Afindi road peshawar,21-3-79,BE,16-8-03,A,C
216,Rabbi Kharasani,Sheik Ahmad Kharasani,h# 579 St. # 68  University coloney PSH,23-4-79,M.Phil,19-8-03,A,C
217,Ahmed Abid,Abid Abu Bakr,Ho. # 893 s# 64  Factory road Sawat,23-12-81,MSc,23-8-03,A,C
218,Syyed Zafar Kharasani,Affan Kharasani,house no.208 street # 59  Industrial estate Peshawar,25-9-81,BS,26-8-03,A,C
219,Suryya Bhatti,Abdul Rafay Iqbal Bhatti,ho. # 755 street # 22  Ramzania Gilgit,27-9-81,MSc,29-8-03,A,C
220,M. Shabir Satti,Zameer Khalid Satti,Ho. No. 69 S No. 18 Pind dadu Abbotabad,28-5-80,M.Sc,4-8-03,A,C
221,Mahtab Khurram Bhatti,Ch. Ibrahim Bhatti,H No. 384 St. No. 13 Lane 3 Khybar road PESHAWAR,1-2-80,MS,7-8-03,A,C
222,Nafisa Ghulam Yasin,Ghulam Yasin Azhar,Ho. no. 930 St. No. 8 Niazi town Noshera,1-2-80,M.Sc,10-8-03,A,C
223,Atif Qamar Pasha,Sajid Pasha,h no. 245 s no. 72 Afindi road PESHAWAR,3-11-80,MS,13-8-03,A,C
224,Mahtab Shah,Shazil Shah,House #  559 street no. 67 Jamurd  town peshawar,3-7-79,BE,17-8-03,A,C
225,Nusrat Latif Rahmat Durrani,Latif Rahmat Durrani,H#  106 street no. 62 Buliyan wali Hasanabdal,5-7-79,M.Phil,20-8-03,A,C
226,Shujaat Abbasi,Sh. Jibran Abbasi,house # 421 St. # 58  Industrial estate peshawar,6-4-79,BE,23-8-03,A,C
227,Abdul Qadir Durrani,Syyed Mehmood Durrani,h# 735 s# 21  Afindi road PSH,8-12-79,M.Phil,26-8-03,A,C
228,Abdus Sammi Sarwar,Sarwar Gul,Ho. # 282 Street No.16  Chandi bazar Sawat,8-1-81,MSc,1-8-03,A,C
229,Raja Nazeer Gondal,Jamal Gondal,house no.596 street # 11  Lane 3 Khybar road Peshawar,10-9-81,BS,4-8-03,A,C
230,Kiran Ansari,Abdul Hameed AAqil Ansari,ho. # 911 S# 75  Bakra mandi Gilgit,12-6-81,MSc,7-8-03,A,C
231,Azam Satti,Noor Sameer Satti,House No.225 S# 70  Jalabad Sawat,12-6-81,BS,10-8-03,A,C
232,Momd. Rohail Haqqie,Sahibzada Waqas Haqqie,H No. 772 St. No. 65 Jamurd  town PESHAWAR,15-2-80,MS,14-8-03,A,C
233,Noor Jahan Abdul Hannan,Abdul Hannan Abdul Mujeeb,Ho. no. 87 s no. 61 Lohi pura Noshera,15-11-80,M.Sc,17-8-03,A,C
234,AAqil Chohan,Saleem Chohan,h no. 401 street no. 24 Industrial estate PESHAWAR,17-7-80,MS,20-8-03,A,C
235,Shk. Jabbar Baig,Fakhir Baig,House #  948 St. no. 19 Hayata Abad peshawar,17-8-79,BE,24-8-03,A,C
236,Tehsin Chohan,Umar Rai Chohan,H#  262 St. #  15 Khumar road Hasanabdal,19-4-79,M.Phil,27-8-03,A,C
237,Arif Jaffery,Syed Rayyan Jaffery,house #  577 s#  10 Lane 3 Khybar road peshawar,19-12-79,BE,1-8-03,A,C
238,Uhad Zishan,Zishan Abu Bakr,h# 124 Street No.73  Cantt. road Mardan,22-1-79,M.Phil,4-8-03,A,C
239,Ghulam Yasin Shahroze,Shahroze Rashid,Ho. # 438 street # 69  Kusar coloney Sawat,22-9-81,MSc,8-8-03,A,C
240,Khurshid Nadeem Gondal,Abdul Wasay Gondal,house no.753 S# 64  Jamurd  town Peshawar,24-6-81,BS,11-8-03,A,C
241,Samman Ansari,Tanveer Abdul Rafay Ansari,ho. # 299 S# 59  Shakrial Gilgit,26-6-81,MSc,14-8-03,A,C
