SID,St_Name,Father_Name,Gender,Address,Date of Birth,Reg Date,Reg Status,Degree Status,Last Degree
800,Zaran Haqq,Annan Yusaf Haqq,0,h# 978 Street No.72  Karnianwala Kabirwala,5-Jan-76,13-Aug-96,A,C,A-Level
801,Maha Paracha,Aga Zulqur nain Paracha,1,House # 293 st. # 67  Karimabad Shekhopura,7-Oct-76,16-Aug-96,A,C,FSc
802,Ali Ansary,Sahibzada Ikram Ansary,0,H# 607 st. # 62  Karkhana road Melsi,7-Oct-76,19-Aug-96,A,C,A-Level
803,Farooq Moeen,Moeen Faizan,0,house #  154 S#  26 Shehar bazar D.I. Khan,10-Jun-76,22-Aug-96,A,C,FSc
804,Abdul Hannan Shabir,Shabir Moeen,0,House No. 469 Street #  21 Ramzania Gujrat,10-Mar-78,26-Aug-96,A,C,F.Sc.
805,Shams-ul-Islam Laghari,Abdur Rasheed Laghari,0,Ho. #  783 Street #  16 Bara bazar Faisalabad,12-Mar-78,29-Aug-96,A,C,Fsc
806,Tayyaba Annan Saleem Bhatti,Annan Saleem Bhatti,1,house no. 98 s#  79 Jamia masjid chowk Sahiwal,14-Dec-78,3-Aug-96,A,C,F.Sc.
807,Sahibzada Arif Satti,Momd. Rohail Satti,0,ho. #  644 St. no. 75 Mitthian Kabirwala,14-Aug-78,6-Aug-96,A,C,Fsc
808,Abdul Wasay Emmad Pasha,Sheikh Asif Pasha,0,Ho. No. 959 St. no. 70 Shuakat coloney Abdul Hakim,16-Aug-77,10-Aug-96,A,C,A level
809,Alina Talha,Talha Siraj,1,H No.274 S No.65  Mutian wala D.G. Khan,17-May-77,13-Aug-96,A,C,HSSC
810,Sonil Nadeem Pasha,Ejaz Pasha,0,Ho. no.820 Street No.29  Hamdarad road Dera Ismail Khan,19-Jan-77,16-Aug-96,A,C,A level
811,Hafiz Ismail Abbasi,Sahir Zarar Abbasi,0,h# 135 St. No.24  Dak ghar LalaMusa,19-Feb-76,20-Aug-96,A,C,A-Level
812,Hajira Durrani,Ghani Shaukat Durrani,1,House # 449 st. # 19  Cement factory coloney Sialkot,21-Oct-76,23-Aug-96,A,C,FSc
813,Aga Mustansar Abbasi,Mouhammed Tahir Abbasi,0,H# 996 S# 15   Bhawalpur,21-Jun-76,26-Aug-96,A,C,A-Level
