SID,St_Name,Father_Name,Gender,Address,Date of Birth,Reg Date,Reg Status,Degree Status,Last Degree
2000,Hira Satti,Abdul Malik Khurshid Satti,1,H# 932 Street No.40  Lakhan Kharian,11-Jan-79,16-Aug-99,A,C,A-Level
2001,Masud Haqqie,Rafi Tanveer Haqqie,0,ho. # 478 street # 35  Shehar bazar Melsi,13-Sep-81,20-Aug-99,A,C,Fsc
2002,Sanam Satti,Raja Yasin Satti,1,House No.793 S# 31  Mandi D.I. Khan,15-Jun-81,23-Aug-99,A,C,F.Sc.
2003,Munnawar Pervaiz,Pervaiz Ayyaz,0,Ho. # 107 S# 94  Purana shehar Gujrawala,15-Jun-81,26-Aug-99,A,C,Fsc
2004,Moeen Sultan,Sultan Abdul kareem,0,house no.654 St. No.89  Karki Wazirabad,17-Feb-81,29-Aug-99,A,C,F.Sc.
2005,Gulmina Shams Chohan,Shams Chohan,1,h no. 969 s no. 85 Mitthian Sahiwal,18-Nov-80,4-Aug-99,A,C,HSSC
2006,Farzan Farrukh Abbasi,Jamil Athar Abbasi,0,Ho. No. 283 s no. 80 Afangi block Kabirwala,20-Nov-80,7-Aug-99,A,C,A level
2007,AAmir Durrani,Mohammad Anwar Durrani,0,H No. 830 St. no. 43 Saat meel Shekhopura,20-Aug-80,10-Aug-99,A,C,HSSC
2008,Sadaf Jaffery,Hafiz Murtaza Jaffery,1,Ho. no. 144 St. #  39 Byaar Melsi,22-Apr-80,13-Aug-99,A,C,A level
2009,Hussain Furqan,Furqan Ramzan,0,h#  459 St. #  34 Shah malung Dera Ismail Khan,22-Apr-79,17-Aug-99,A,C,A-Level
2010,Jabir Ansari,Saaleh Ansari,0,House #  773 Street No. 29 kurang nala Gujrat,24-Jan-79,20-Aug-99,A,C,FSc
2011,Farha Gondal,Mazhar Sabir Gondal,1,H# 320 street # 93  Chan chirag Faisalabad,25-Sep-79,23-Aug-99,A,C,A-Level
2012,Jabbar Farooq Haqqie,Kamran Ahsan Haqqie,0,house # 635 st. # 88  Kotlia Sahiwal,27-Oct-79,26-Aug-99,A,C,FSc
2013,Naz Sehti,Mohammed Saeed Sehti,1,House No.949 S# 83  Main workshop Jehlum,29-Jun-81,1-Aug-99,A,C,F.Sc.
2014,Zulqur nain Najam,Najam Shuja,0,Ho. # 496 Street # 78  Jaamia Masjid road Abdul Hakim,29-Mar-81,4-Aug-99,A,C,Fsc
2015,Momd. Ghulam Mustafa Baig,Masud Baig,0,house no.810 Street # 42  Surahi bazar D.G. Khan,2-Mar-81,7-Aug-99,A,C,F.Sc.
2016,Hajira Chohan,Jabir Chohan,1,h no. 125 s no. 37 Kachi abadi Multan,3-Nov-80,11-Aug-99,A,C,HSSC
2017,Sheikh Qutab-ud-Din Baig,Najeeb Sattar Baig,0,Ho. No. 671 St. no. 32 Sukkhan abad LalaMusa,5-Aug-80,14-Aug-99,A,C,A level
2018,Khurram Danish Khan,Mohammad AAqil Khan,0,H No. 986 St. no. 28 Deinga Sialkot,5-Aug-80,17-Aug-99,A,C,HSSC
2019,Nosheen Haseen,Haseen Amer,1,Ho. no. 301 S No. 91 Ghosia masjid chwok Bhawalpur,7-May-80,20-Aug-99,A,C,A level
2020,Abdur Rahman Khurshid,Khurshid Badar,0,h#  847 Street No. 86 Park road Kharian,7-Jan-79,24-Aug-99,A,C,A-Level
2021,Shk. Mazhar Ansari,Taimor Ansari,0,House #  162 Street No. 82 Zikria Bahawalpur,9-Jan-79,27-Aug-99,A,C,FSc
2022,Sonia Khattak,Rafi Yusaf Khattak,1,H# 476 st. # 45  Darian Dera ghazi khan,10-Oct-79,1-Aug-99,A,C,A-Level
2023,Mohammed Ikram Minhas,Zulfiqar Anwar Minhas,0,house # 23 S# 40  Kumria Multan,12-Jun-79,4-Aug-99,A,C,FSc
2024,Sajeela Choudhary Ayyaz Sehti,Choudhary Ayyaz Sehti,1,House No.337 street no.36  Nizam pur Wazirabad,14-Jul-81,8-Aug-99,A,C,F.Sc.
2025,Sahir Kaleem,Kaleem Ajmal,0,Ho. # 652 Street # 31  post office Sargodha,14-Mar-81,11-Aug-99,A,C,Fsc
2026,Zamir Adil Sehti,Shakir Sehti,0,house no.199 s no.94  Biyaal Pindi Bhatian,16-Nov-81,14-Aug-99,A,C,F.Sc.
2027,Nosheen Chatta,Rahmat Chatta,1,ho. # 513 s# 90  Muzafar shah Kharian,16-Dec-81,17-Aug-99,A,C,Fsc
2028,Hamid Mazhar Kiyyani,Anwar Amer Kiyyani,0,Ho. No. 828 St. no. 85 Karkhana road Melsi,19-Aug-80,21-Aug-99,A,C,A level
2029,Nadir Kishwar Chatta,Sheikh Muazzum Chatta,0,H No. 142 S No. 80 Shehar bazar D.I. Khan,19-May-80,24-Aug-99,A,C,HSSC
2030,Amina Daud,Daud Ramzan,1,Ho. no. 689 S No. 44 Mandi Gujrawala,21-May-80,27-Aug-99,A,C,A level
2031,Sharif Abdur Rasheed,Abdur Rasheed Hayyat,0,h#  3 Street No. 39 Bara bazar Faisalabad,21-Jan-79,2-Aug-99,A,C,A-Level
2032,Mohammad Noor Niazi,Rahmat Niazi,0,House #  318 st. #  34 Jamia masjid chowk Sahiwal,23-Oct-79,5-Aug-99,A,C,FSc
2033,Suryya Haqq,Latif Shaukat Haqq,1,H#  865 st. #  29 Mitthian Kabirwala,23-Oct-79,8-Aug-99,A,C,A-Level
2034,Mohammad Sarwar Paracha,Muazzam Shahroze Paracha,0,house # 179 street no.93  Afangi block Shekhopura,26-Jul-79,11-Aug-99,A,C,FSc
2035,Kina Haqq,Momd. Sheharyar Haqq,1,House No.494 Street # 88  Mutian wala D.G. Khan,28-Mar-81,15-Aug-99,A,C,F.Sc.
2036,Iffan Kalim,Kalim Hayyat,0,Ho. # 40 Street # 83  Hamdarad road Dera Ismail Khan,28-Mar-81,18-Aug-99,A,C,Fsc
2037,Daud Haseen,Haseen Husain,0,house no.355 s# 47  Shah malung Gujrat,1-Dec-81,21-Aug-99,A,C,F.Sc.
2038,Wajida Sherazi,Farman Sherazi,1,ho. # 669 St. no.42  kurang nala Faisalabad,1-Aug-81,24-Aug-99,A,C,Fsc
2039,Shahroze Usmani,Adul Qudoos Yaar Muhammad Usmani,0,Ho. No.216 street # 37   Bhawalpur,3-Sep-80,28-Aug-99,A,C,A level
2040,Shaheen Ejaz Khanzada,Mouhammed Waqas Khanzada,0,H No. 531 S No. 33 Akbar masjid Jehlum,4-May-80,2-Aug-99,A,C,HSSC
2041,Wajida Usmani,Ch. Khalid Usmani,1,Ho. no. 845 Street No. 96 Main workshop Abdul Hakim,6-Jan-80,5-Aug-99,A,C,A level
2042,Shabeer Rasheed,Rasheed Kalim,0,h no. 392 St. No. 91 Jaamia Masjid road D.G. Khan,6-Feb-80,8-Aug-99,A,C,HSSC
2043,Fazal Abdus Sattar Hussaini,Saroor Hussaini,0,House #  706 st. #  87 Sherazia coloney Multan,8-Oct-79,12-Aug-99,A,C,FSc
2044,Sara Niaz Ramzan Laghari,Niaz Ramzan Laghari,1,H#  21 street no. 82 Kachi abadi LalaMusa,8-Jul-79,15-Aug-99,A,C,A-Level
2045,Sahibzada Imran Paracha,Ahmad Furqan Paracha,0,house #  335 street no. 45 Sukkhan abad Sialkot,10-Jul-79,18-Aug-99,A,C,FSc
2046,Shehzad Yaseen Haque,Sh. Abu Bakr Haque,0,h# 882 St. # 41  Deinga Bhawalpur,13-Apr-79,21-Aug-99,A,C,A-Level
2047,Khurshid Ajab,Ajab Taimor,0,Ho. # 197 s# 36  Dehri Kharian,13-Dec-81,25-Aug-99,A,C,Fsc
2048,Mujeeb Zaidi,Abdul Rafay Zaidi,0,house no.511 s# 31  Park road Bahawalpur,15-Dec-81,28-Aug-99,A,C,F.Sc.
2049,Nazma Butt,Zameer Butt,1,ho. # 58 street # 94  Zikria Dera ghazi khan,15-Sep-81,2-Aug-99,A,C,Fsc
2050,Shahzor Nadir Zaidi,Ibrahim Karam Zaidi,0,Ho. No.372 S No.90  Landi Gujrawala,17-May-80,6-Aug-99,A,C,A level
2051,Rana Mazhar Kharasani,Agha Azhar Kharasani,0,H No. 687 St. No. 85 Taj abad Wazirabad,18-Feb-80,9-Aug-99,A,C,HSSC
2052,Irum Nawabzada Ijaz Usmani,Nawabzada Ijaz Usmani,1,Ho. no. 234 St. No. 48 Nizam pur Sargodha,20-Feb-80,12-Aug-99,A,C,A level
2053,Anjum Haseeb,Haseeb Shahroze,0,h no. 548 st. #  44 post office Pindi Bhatian,20-Oct-80,15-Aug-99,A,C,HSSC
2054,Waqar Saeed Hussaini,Latif Hussaini,0,House #  863 street no. 39 Karnianwala Shekhopura,22-Jul-79,19-Aug-99,A,C,FSc
2055,Samman Laghari,Jibran Qudoos Laghari,1,H#  409 street no. 34 Karimabad Melsi,22-Jul-79,22-Aug-99,A,C,A-Level
2056,Bashir Bhatti,Mehmood Nazar Bhatti,0,house #  724 St. #  98 Karkhana road D.I. Khan,24-Apr-79,25-Aug-99,A,C,FSc
2057,Syed Aslam Haque,Syed Gul Haque,0,h# 38 s# 93  Shehar bazar Gujrawala,27-Dec-79,28-Aug-99,A,C,A-Level
2058,Shakir Osama,Osama Husain,0,Ho. # 585 s# 88  Ramzania Faisalabad,27-Dec-81,3-Aug-99,A,C,Fsc
2059,Tipu Haque,Farman Haque,0,house no.900 street # 84  Bara bazar Sahiwal,29-Sep-81,6-Aug-99,A,C,F.Sc.
2060,Nighat Butt,Noor Butt,1,ho. # 214 S No.47  Jamia masjid chowk Kabirwala,29-May-81,9-Aug-99,A,C,Fsc
2061,Qaisar Karam Illahi Abbasi,Waqas Baber Abbasi,0,House No.761 S# 42  Mitthian Shekhopura,2-Jun-81,12-Aug-99,A,C,F.Sc.
2062,Yosaf Butt,Agha Abdul Mujeeb Butt,0,H No.75 St. No.38  Shuakat coloney D.G. Khan,2-Feb-80,16-Aug-99,A,C,HSSC
2063,Rahat Saleem,Saleem Saleem,1,Ho. no. 390 st. #  33 Mutian wala Dera Ismail Khan,5-Oct-80,19-Aug-99,A,C,A level
2064,Niaz Hussain,Hussain Fakhar,0,h no. 704 s no. 96 Hamdarad road Gujrat,5-Nov-80,22-Aug-99,A,C,HSSC
2065,Arsalan Ansary,Niaz Ansary,0,House #  251 street no. 91 Dak ghar Sialkot,7-Jul-79,26-Aug-99,A,C,FSc
2066,Ammara Satti,Rayyan Hamid Satti,1,H#  566 St. #  87 Cement factory coloney Bhawalpur,7-Apr-79,29-Aug-99,A,C,A-Level
2067,Shakir Viqar-ul-Islam Bhatti,Mirza Abu Bakr Bhatti,0,house #  880 St. #  50  Jehlum,9-Apr-79,3-Aug-99,A,C,FSc
2068,Tufail Satti,Mouhammad Rashid Satti,0,h#  427 s#  45 Akbar masjid Abdul Hakim,11-Dec-79,6-Aug-99,A,C,A-Level
2069,Mehmood Rashid,Rashid Abdul Wasay,0,Ho. # 741 street # 41  Bakra mandi Dera ghazi khan,12-Sep-81,10-Aug-99,A,C,Fsc
2070,Aga Anwar Shah,Zameer Shah,0,house no.56 street # 36  Jalabad Multan,14-Sep-81,13-Aug-99,A,C,F.Sc.
2071, Viqar-ul-Islam Chohan,Viqar-ul-Islam Chohan,1,ho. # 602 S# 99  Sherazia coloney LalaMusa,14-Jun-81,16-Aug-99,A,C,Fsc
2072,Daniyal Abbasi,Azhar Akmal Abbasi,0,House No.917 St. No.95  Kachi abadi Sialkot,16-Feb-81,19-Aug-99,A,C,F.Sc.
2073,Qutab-ud-Din Durrani,Rana Daud Durrani,0,H No.232 St. No.90  Pakistan hostel Pindi Bhatian,16-Feb-80,23-Aug-99,A,C,HSSC
2074,Naseema Tipo,Tipo Shazil,1,Ho. no.778 s no.85  Dhamiyal Kharian,18-Nov-80,26-Aug-99,A,C,A level
2075,Munnawar Daniyal,Daniyal Mustamsir,0,h no. 93 street no. 49 Dehri Bahawalpur,19-Jul-80,29-Aug-99,A,C,HSSC
2076,Muhammad Qasim Ansari,Jibran Ansari,0,Ho. No. 407 St. no. 44 Park road Dera ghazi khan,21-Aug-80,3-Aug-99,A,C,A level
2077,Nosheen Munir Shakeel Gondal,Munir Shakeel Gondal,1,H#  954 St. #  39 Cantt. road Gujrawala,21-Apr-79,7-Aug-99,A,C,A-Level
2078,Choudhary Shahid Ansari,Mohammed Gul Ansari,0,house #  268 Street No. 35 Landi Wazirabad,23-Jan-79,10-Aug-99,A,C,FSc
2079,Adul Qudoos Satti,Shk. Zishan Satti,0,h#  583 Street No. 98 Taj abad Sargodha,25-Jan-79,13-Aug-99,A,C,A-Level
2080,Noor Mujeeb,Mujeeb Abdul Hameed,0,Ho. #  130 street #  93 Shakrial Kabirwala,25-Sep-81,17-Aug-99,A,C,Fsc
2081,Ghulam Yasin Imran Sehti,Azam Sehti,0,house no.444 S# 89  Jalsa gha Shekhopura,28-Jun-81,20-Aug-99,A,C,F.Sc.
2082,Alina Chohan,Yousaf Rizwan Chohan,1,ho. # 759 S# 52  Karnianwala Melsi,28-Jun-81,23-Aug-99,A,C,Fsc
2083,M. Rahat Khan,Imran Affan Khan,0,House No.73 Street # 47  Karimabad D.I. Khan,1-Mar-81,26-Aug-99,A,C,F.Sc.
2084,Ayyaz Shams-ul-Islam Minhas,Sahibzada Zishan Minhas,0,H No.620 s no.42  Factory road Gujrat,1-Nov-80,1-Aug-99,A,C,HSSC
2085,Sonia Khattak,Mohammed Mumtaz Khattak,1,Ho. no.934 s no.38  Garrizon Faisalabad,3-Nov-80,4-Aug-99,A,C,A level
2086,Mustansar Furqan,Furqan Azam,0,h no. 249 St. no. 1 Ramzania Sahiwal,4-Aug-80,7-Aug-99,A,C,HSSC
2087,Chodhary Ikram Awan,Zafar Awan,0,Ho. No. 796 St. #  96 Bara bazar Kabirwala,6-Apr-80,10-Aug-99,A,C,A level
2088,Naz Ubaid Qamar Haq,Ubaid Qamar Haq,1,H#  110 S No. 92 Bara qabrustan Abdul Hakim,6-May-79,14-Aug-99,A,C,A-Level
2089,Sheik Zamir Awan,Abid Tufail Awan,0,house #  425 Street No. 87 Niazi town D.G. Khan,8-Jan-79,17-Aug-99,A,C,FSc
2090,Sarwar Chatta,Muhammad Arif Chatta,0,h#  971 street #  50 Shuakat coloney Dera Ismail Khan,10-Sep-79,20-Aug-99,A,C,A-Level
2091,Adila Najeeb,Najeeb Sattar,1,House #  286 st. #  46 Mutian wala Gujrat,10-Oct-79,23-Aug-99,A,C,FSc
2092,Aga Azhar Namani,Nadeem Namani,0,house no.600 S# 41  Buliyan wali Sialkot,13-Jun-81,27-Aug-99,A,C,F.Sc.
2093,Jameela Kazmi,Najam Kazmi,1,ho. # 147 Street # 36  Dak ghar Bhawalpur,13-Mar-81,1-Aug-99,A,C,Fsc
2094,Shujaat Qureshi,Emmad Asfar Qureshi,0,House No.462 Street # 0  Cement factory coloney Jehlum,15-Mar-81,4-Aug-99,A,C,F.Sc.
2095,Abdul Qadeer Shams Kazmi,Sahibzada Munnawar Kazmi,0,H No.776 s no.95  Chandi bazar Bahawalpur,15-Nov-80,8-Aug-99,A,C,HSSC
2096,Zil-e-Huma Rehmat,Rehmat Aftab,1,Ho. no.323 St. no.90  Mujahid block Dera ghazi khan,17-Aug-80,11-Aug-99,A,C,A level
2097,Abdul Hannan Rafi,Rafi Waqar,0,h no.637 St. no.86  Bakra mandi Multan,17-Aug-80,14-Aug-99,A,C,HSSC
